url_path,views_total,views_unique
/amath-idm/starsim/issues,203,9
/amath-idm/starsim,188,16
/amath-idm/starsim/pulls,168,8
/amath-idm/starsim/tree/main/starsim,83,8
/starsimhub/starsim,72,9
/amath-idm/starsim/pull/307,33,5
/amath-idm/starsim/branches,31,5
/amath-idm/starsim/milestones,31,4
/amath-idm/starsim/issues/new,30,4
/starsimhub/starsim/issues,28,3
