url_path,views_total,views_unique
/amath-idm/starsim/issues,185,7
/amath-idm/starsim,163,16
/amath-idm/starsim/pulls,155,8
/starsimhub/starsim,88,11
/amath-idm/starsim/tree/main/starsim,76,8
/starsimhub/starsim/issues,32,4
/starsimhub/starsim/tree/main/starsimhub/starsim,31,4
/amath-idm/starsim/issues/new,30,4
/amath-idm/starsim/branches,27,4
/starsimhub/starsim/pulls,26,9
