id,p2p_id,sim_id,group,random_id,score
9826,f1c42f3b-b029-4d3c-aea3-46020a09b648,202,group1,4799,0
9758,3a4e011b-4c35-4391-944d-340e02c2e7b4,202,group1,1035,53
9784,f1ce0a47-fd2a-4a85-bebb-742397b77901,202,group2,7930,90
9825,b511f62f-9b2d-4cff-8342-b7844114eee8,202,group2,7636,0
9830,f1cac0ef-0d68-468a-9e7a-d325abb2d593,202,group2,8742,0
9811,d6a26ac7-6c84-479c-ad6a-e727e35cd413,202,group2,7384,93
9829,43d17020-fc0c-4323-b4ad-e8a9bc4452f5,202,group2,9629,0
9797,2619775c-5c82-4869-ab9b-fd7275818aa6,202,group1,1556,20
9813,c7f4fa10-40d0-4f1e-88a6-3da5961a6130,202,group2,1961,235
9787,9b183dfb-1d5f-4184-abff-c7107bef01f3,202,group2,2444,0
9833,1d81f75b-e28d-4813-ba67-106c10009efd,202,group2,6615,0
9804,5eb93551-926d-42ad-929a-1739b268c33a,202,group1,6948,68
9824,fef77cfc-f73c-45ee-bdd9-51789151e6ae,202,group2,6830,0
9837,1bdfd8a9-4412-4c69-806e-05309015ff96,202,group1,9118,0
9812,910ea315-33cc-4955-b9f2-24c0e04868b0,202,group1,5589,152
9775,57e57f97-9e2b-4c02-802b-6fbc5aca59a8,202,group2,3087,175
9817,69cadef9-6529-467b-bd7f-1189c6558032,202,group2,6775,17
9840,f55dacb2-1aef-49fb-a5e6-39f81fc320ef,202,group2,5464,0
9774,428c7cce-fc82-40a4-b775-30a8a657e488,202,group1,9260,0
9893,747843b7-c679-4422-b627-2ff2959edd02,202,group2,9624,92
9860,92b59288-0ad9-4b8b-9d01-e31e1cf0ce83,202,,9968,0
9842,e7200402-5655-4018-915d-87a128a9a7f2,202,group1,9480,0
9919,98eb076b-ee00-4e8e-9000-860088b1510a,202,group1,9035,50
9850,360f6ba3-ecb6-48e8-9dfe-a4c0c81a879e,202,group1,7865,76
9844,142c30e0-5d3c-4bda-9869-152423ab5ff7,202,group1,1912,99
9903,eb4cd0d8-b8dc-4355-8c53-5f19571cb68e,202,group1,7999,56
9904,e9780e49-edf6-4682-98d8-d5afcd67bde3,202,group1,6021,20
9848,3ceb9419-eb16-40e7-99a7-273a2d921ae7,202,group2,8992,0
9847,80e72e71-18d6-429e-87f7-6f707cbb1d3c,202,group2,2051,0
9849,cf1393e5-2008-4723-b751-c5a858305134,202,group1,8582,20
9869,58b827c9-89ad-49b0-a4ec-314f6e2e763b,202,group2,8346,0
9886,09181c11-2524-4e71-beb0-f78693e36894,202,group2,3651,95
9906,781e175f-1e6c-42c7-82d9-0fafea679ea6,202,group1,8281,86
9921,2a424d31-77c6-4a62-b042-d63197567918,202,group2,7024,101
9922,b583514a-feae-4e80-adcf-02d71ce35353,202,group2,6492,34
9915,4320b9dc-6080-49d7-ab61-6b1e8bf771d5,202,group1,7229,0
9890,af2d8bb7-91f5-4d31-a496-18d6ee8da193,202,group1,4264,79
9854,ee02cdda-a33c-4e4a-98c5-4ced0d59845b,202,group2,7155,0
9872,873fd583-c5b0-45a1-946e-474eee650217,202,group2,363,0
9852,475fbd8d-ca26-427d-88be-097814cd73ea,202,group1,2475,88
9924,32524de5-c77f-42d7-be68-7735721a26c5,202,group1,2167,10
9873,d7fe8b9b-696c-4bc2-8044-608c785beb68,202,group1,9558,0
9856,8e5496f5-aba5-4e80-a78e-878187d43ff1,202,group1,1017,0
9911,91dafed5-2273-4a4a-9b3f-30494521adf8,202,group2,6108,51
9912,cc8641f8-9e24-472c-b184-022045d29248,202,group2,3097,0
9901,e90dc796-f26a-401e-96f9-deb776c71054,202,group2,1471,22
9910,d68e1e6a-5cf0-4898-a816-0018286fdf51,202,group2,5746,128
9877,88d6427a-1f92-45fe-bdfa-317efb43fa98,202,group1,8627,116
9865,74738f77-ab19-4c87-a652-58bd947f0160,202,group2,6003,61
9863,b0d6ff62-53fc-4b50-b460-a114a2a20bab,202,group2,3429,179
9853,d9074766-f6f9-4a68-b5ef-da204c8ce3ca,202,group2,381,5
9882,dc6b8f0f-2d0f-4d1a-a3ca-897b0c7bab05,202,group1,3125,53
9861,40204881-a7d9-4738-8118-31c9daf77ab4,202,group1,5702,30
9866,207f877a-90e5-490a-83ba-e20d89587910,202,group1,1223,0
9888,34a6c8e0-25d4-43ce-a24c-ec2e44ca903e,202,group2,235,98
9858,24684ed0-0734-4af4-ba65-8e75d17f8eed,202,group2,7627,34
9880,cda50bd7-6b9c-4791-8417-f65c9ff52fc1,202,group1,2257,57
9868,b9ae40bb-bbda-424a-8830-1e2b71a48c8e,202,group2,8125,32
9859,bd3ff691-fdf4-40d7-a7f5-2e22a1b9a0c9,202,group1,1840,50
9889,7def7efe-2d09-4142-b315-187316620c49,202,group1,7370,0
9879,746c7ec3-c309-4f05-bd81-ce0f77c1da01,202,group2,4205,0
9914,ecc5dc56-0808-488d-ace6-31b42654e0ba,202,group2,8016,5
9891,6fc315ef-6778-4d1e-8f0a-a5d92926ee95,202,group1,4429,98
9894,f339c6cc-4357-410d-94ef-d2ccfc8f4471,202,group2,8465,59
9878,f7202663-f145-4ec8-bd6b-0c00101ade56,202,group2,9701,68
9876,c7973437-0655-4091-b7d0-84fc31edec6c,202,group2,5740,59
9905,416dcdd8-4e42-4788-9bcc-67f4145b0999,202,group1,6534,80
9881,6444c2e6-b3be-4a2c-9b7c-31d1891c5d8b,202,group2,9962,0
9851,217206fd-abc8-4daa-8653-559381e7da10,202,group1,3163,0
9918,12c65113-8ae6-4997-a204-9225a1996de9,202,group1,3549,48
9864,57ad7c4d-cff6-4a5f-9e1f-cca9207662a6,202,group2,3748,142
9871,436a4191-1911-4e02-9e79-d1983271d361,202,group1,6882,5
9896,59bd6352-69ca-4d2a-af15-5d9d1786c779,202,group1,2409,0
9862,904fd764-a655-4353-88fb-b5cac36917c7,202,group1,8453,0
9843,254572eb-c64b-4566-9717-7400477d6085,202,group2,4227,129
9884,d9eae54b-00fc-4c25-b679-29dd10527168,202,group2,7489,106
9841,d96f89a8-9a01-4604-86e0-37f10be17161,202,group1,8869,50
9907,3f4c6e30-6c56-446a-800f-72f91860b485,202,group2,931,179
9874,6cd8633b-818a-413e-bc82-056c43544469,202,group2,4438,17
9920,19446482-7ac8-4363-87f0-a3817323043a,202,group1,858,0
9857,80afed1b-69ac-4903-8529-81acb6c9d5b8,202,group2,3646,0
9900,84a30b32-5e87-4104-9b7c-23dbe6c72944,202,group1,1413,0
9892,299552f8-c5c1-4bd3-8d66-79c1215ddb6f,202,group2,9465,19
9908,4a6e9c1b-6708-46de-b72d-5eeab108f2c9,202,group1,9151,0
9875,f08fdabc-75e9-4720-8973-8e83262f2afe,202,group2,370,205
9923,f424485d-fe07-479b-aebc-07a1541d3091,202,group1,6244,106
9909,a87b7757-a5d8-4787-a6a1-fb4708b34a23,202,group2,6807,17
9897,bd4e325e-6901-4051-860c-894941251cc4,202,group2,538,1
9913,7b6ba8e3-961c-4af0-b811-55d186c6b5a7,202,group2,7165,5
9898,59f6b123-6e39-4af3-a53d-3758f9cd58fc,202,group1,9804,139
9895,0cbaf9d5-fca2-426b-80a0-64447274e330,202,group1,2209,71
9887,965f43f5-8f50-4520-90d5-c5182d2d2ec5,202,group1,439,79
9867,62686dbe-68b5-4906-b53f-b586c18a2b68,202,group2,2527,17
9917,61978bc7-c862-44f1-80b6-6f57334658d5,202,group2,1289,0
9899,2caebb52-39a2-45f8-a8fc-83f98cd4f9c1,202,group1,5300,50
9885,0b2646c4-8773-4db0-92e1-27206578835c,202,group2,1185,77
9845,62149034-73e5-4b08-9860-ae2971842f04,202,group2,310,45
9902,8128a7cd-0660-4b36-a202-3d026dfea8a7,202,group1,8789,82
9883,ed0bfd93-987c-4e29-9800-b8c81ab1bb68,202,group2,3001,39
9846,6186ec02-dfad-4b3b-b996-4ed9bf48e399,202,group1,3497,81
9855,2f97768f-8ac0-48d1-a8f5-8c16c41e59d8,202,group2,5103,7
9916,be857fd2-ce60-4e21-99d2-5cccaf107cc8,202,group2,7910,34
9948,3becccff-6a0f-4832-a13a-f35323f972cb,202,group1,3270,0
9956,44c03667-d1ca-4fab-ad1e-689a8eb29651,202,group1,1658,20
10003,1f7dbbc7-a780-41a4-b263-e52a421a73dd,202,group1,7394,163
9987,949c5ac5-af9f-4a5f-83f8-2ed222c940d9,202,group1,5314,0
9928,d3b0f54e-0b9e-4e2b-801e-b410a99a6217,202,,3918,0
9930,519279cd-8f75-48f1-a65c-572c2455654b,202,group1,3528,63
9982,9afb0ded-c994-462c-b75e-788485a89f7d,202,group2,8134,0
9952,46043df0-eb4f-429b-a5b2-108cf8855f61,202,group2,9089,34
9949,a2f9d590-ec01-4d90-a955-e7f61ec33765,202,group1,443,0
10007,8169d538-fa71-493b-be8f-52cdae9ac9b2,202,group1,2392,153
9931,708f1a63-6863-4955-b284-f6c339c0223c,202,group2,4606,0
9991,876b45c3-57b4-4008-bc74-e51bf5418542,202,group2,201,17
9938,635180ea-8d8c-4aa9-8f13-c204a2ed54af,202,group2,9406,120
9980,d16edde8-1af9-4a88-8c5f-37553e881e0c,202,group1,8222,122
10004,0cc50476-2ae7-46e0-8bc5-41ba3c03ee40,202,group2,1096,65
9954,c26743c9-88e0-4d65-ab07-88999d253ae2,202,group2,9677,132
9951,0eb29b1d-f095-4ee7-b096-5da1e04f242a,202,group2,7854,0
9984,e78029a2-5f50-4151-9a7d-1b13bab38e1d,202,,3400,107
9975,2835b1e8-6670-4a36-9aad-70ae2eaaa0b6,202,group2,2779,210
9974,b24babe1-fa4f-43a4-9d50-db29197dc11a,202,group1,7510,14
9935,7abbdab9-c79e-4708-aaff-6cd102e602a6,202,group1,4224,56
9944,a8f2e3a4-ee58-4aab-8550-a0f54aa22095,202,group2,4564,210
9986,a6f52c31-63a0-4eda-850a-dc00bc2ac03f,202,group2,4561,70
9946,8d54ceab-814d-4c9b-815b-4e19437edc3f,202,group2,7088,68
9997,199d6618-95de-4380-9d0e-6235f559b9b4,202,group1,6502,24
9934,8ac8eb25-4d0e-4c62-a786-eda65a0c6158,202,group1,9689,15
9977,4d0ef1e0-81e1-4c4d-923f-a0ea30803fab,202,group1,4276,41
9969,47499a15-aa1b-4b39-8a6f-1ad226aba4c6,202,group1,7686,30
9947,297c6f80-9b57-45f1-9045-9832e0570364,202,group2,6591,51
9967,bd0ae78e-071c-477f-a29e-0cd691ca4044,202,group1,9173,30
9933,5ddd2b8b-a9f5-4b6d-92c1-0b0d17067a76,202,group1,3645,15
9940,97800929-87ad-4cfe-9b3c-61e3d7eaf7c7,202,group1,211,5
9955,bae77f42-1ced-4095-a325-133ede4a2fc8,202,group1,2162,110
9945,12adeb18-77bd-47dd-ba06-653f1f97f2c8,202,group2,1631,0
9937,d5f25f17-fbaf-482a-8016-7c53bda56669,202,group2,1126,5
9979,7205e164-5fb4-4469-b3e4-520168b2182c,202,group2,9064,8
9968,22284101-97f3-4dbb-a71d-457031229059,202,group2,1501,0
9995,b42a1990-b491-4c08-8c06-2f12ef3b9109,202,group2,2825,145
9939,b4fb9535-2247-416a-bec9-a331e828d8f8,202,group2,4361,77
9985,b3d0afd5-7e33-4974-9024-eb0a8606d13a,202,group1,8310,84
9960,4023f9db-b8b4-49cf-b173-3efeba5932ff,202,group1,1621,0
9961,8945b6d6-480d-468e-8bf6-7f3fad4d6d09,202,group1,9048,48
9970,1c2809f4-f829-4b40-96ad-8af2c7ffdf2d,202,group2,48,0
9976,3cc1bb9f-2713-4841-8479-20221f0fb490,202,group1,3409,20
9973,55f9e6e0-9ead-4d50-bd1a-f107ef215203,202,group2,7601,195
9963,aa2ff80f-85b8-451f-80c3-bdca4a909c8c,202,group2,935,0
9966,45dc2755-a0ab-4f0a-87c9-324996c7f907,202,group1,1772,0
9942,bd146cf2-f5bf-499d-8407-568ba7500273,202,group2,6465,51
9981,636562e3-6a57-4a61-bf87-6854122b4e3a,202,group2,351,0
10008,a1bb2b5d-67da-436b-9b53-4370a115d366,202,group1,6189,20
10005,f5cf6f12-5a15-47df-b60e-922a00d2c58f,202,group1,1463,130
9978,5cb7c88d-3c10-49fc-b31f-74a89edf6147,202,group1,2402,53
9994,f3d033da-04fd-47df-a686-4b0646251a43,202,group1,5537,0
9927,bef3e84d-807f-49f8-a7a2-5d528acaa1b0,202,group1,8104,80
9941,c3243836-654a-4b30-9a3b-c7ee0c863014,202,group1,7682,143
9936,5b6bb614-b43d-48c3-b2e1-ad5b863bed70,202,group2,1402,66
9988,dcea8f63-cfa0-4f97-a0ce-9d3e616ee834,202,group2,9833,34
9958,bfe2a88c-3e41-4b3b-96db-8ef7bc58a482,202,group1,4157,114
9972,b5de532a-97d5-486a-83db-395b064815cb,202,group2,3719,150
9983,7ab6859a-6590-4062-a792-484c931a5266,202,group1,4882,0
9962,6c83a38c-4abe-4094-9e0f-6526d523cc14,202,group1,5161,20
9959,887017d2-452a-43f9-9720-3a630cfe504e,202,group1,6984,26
9925,f2e968f6-0223-471e-903b-b91dd35dd266,202,group1,6581,84
9957,58d07b09-9960-46a7-994d-5fd79bac1a89,202,group1,322,55
